Measure Mode: process_time_time
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 0.021020
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.10      0.000     0.000     0.000     0.000        2   #<Class:0x006150c87103e8>#relative_url_root
  0.10      0.000     0.000     0.000     0.000        6   ActiveSupport::LogSubscriber#start
  0.10      0.000     0.000     0.000     0.000        7   Rack::Utils::HeaderHash#[]
  0.10      0.000     0.000     0.000     0.000       11   Module#const_get
  0.10      0.000     0.000     0.000     0.000        5   Hash#stringify_keys
  0.10      0.000     0.000     0.000     0.000       12   ActiveSupport::LoggerThreadSafeLevel#local_level
  0.10      0.000     0.000     0.000     0.000        3   URI::Parser#parse
  0.09      0.000     0.000     0.000     0.000        1   ActionView::CompiledTemplates#_app_views_page_index_html_erb__1603216814773014619_53499762824280
  0.09      0.000     0.000     0.000     0.000        8   Analytical::SessionCommandStore#method_missing
  0.09      0.000     0.000     0.000     0.000        1   Rack::Request#cookies
  0.09      0.000     0.000     0.000     0.000        9   <Class::ActionController::Base>#logger
  0.09      0.000     0.000     0.000     0.000        1   ActionView::CompiledTemplates#__app_app_views_application__analytical_javascript_html_erb__570489254096458895_53499815355280
  0.09      0.001     0.000     0.000     0.001       10   ActiveSupport::Notifications::Instrumenter#finish
  0.09      0.000     0.000     0.000     0.000        8   Rack::Request#initialize
  0.09      0.000     0.000     0.000     0.000        9  *ActiveSupport::JSON::Encoding::JSONGemEncoder#jsonify
  0.09      0.001     0.000     0.000     0.001       10   Hash#fetch
  0.09      0.000     0.000     0.000     0.000       42   Array#shift
  0.09      0.000     0.000     0.000     0.000       13   Array#map!
  0.09      0.000     0.000     0.000     0.000        5   ActiveSupport::InheritableOptions#initialize
  0.09      0.001     0.000     0.000     0.001        8   Logger#info
  0.09      0.001     0.000     0.000     0.001        9   ActionDispatch::Request::Session::Options#[]
  0.09      0.000     0.000     0.000     0.000        2   Sprockets::PathUtils#absolute_path?
  0.09      0.000     0.000     0.000     0.000        9   Array#==
  0.09      0.000     0.000     0.000     0.000        1   ActiveSupport::MessageVerifier#verify
  0.09      0.001     0.000     0.000     0.001        3   Analytical::SessionCommandStore#initialize
  0.09      0.000     0.000     0.000     0.000        6   Time#minus_with_duration
  0.09      0.000     0.000     0.000     0.000       19   Mutex#unlock
  0.09      0.000     0.000     0.000     0.000       14   String#index
  0.09      0.001     0.000     0.000     0.001       10   ActiveSupport::Notifications::Fanout#start
  0.09      0.000     0.000     0.000     0.000        4   ActiveSupport::HashWithIndifferentAccess#initialize
  0.09      0.000     0.000     0.000     0.000        3   Analytical::Api#tracking_javascript
  0.09      0.000     0.000     0.000     0.000        3   JSON::Ext::Generator::State#generate
  0.09      0.000     0.000     0.000     0.000        9   Enumerable#each_with_object
  0.09      0.000     0.000     0.000     0.000        7   <Class::ActiveRecord::Base>#connection_handler
  0.09      0.000     0.000     0.000     0.000       12   String#[]
  0.08      0.000     0.000     0.000     0.000        8   Logger#format_message
  0.08      0.000     0.000     0.000     0.000        8   ActionView::Resolver#find_all
  0.08      0.000     0.000     0.000     0.000        9   NilClass#blank?
  0.08      0.000     0.000     0.000     0.000        1   Rack::Session::Abstract::Persisted#commit_session
  0.08      0.000     0.000     0.000     0.000        6   String#to_json_with_active_support_encoder
  0.08      0.000     0.000     0.000     0.000        2   IPAddr#initialize
  0.08      0.001     0.000     0.000     0.001        4   ActiveSupport::LogSubscriber#info
  0.08      0.001     0.000     0.000     0.001        7   ActiveSupport::Notifications::Fanout#listening?
  0.08      0.000     0.000     0.000     0.000       16   Hash#keys
  0.08      0.000     0.000     0.000     0.000       29   Kernel#hash
  0.08      0.000     0.000     0.000     0.000       12   Regexp#match
  0.08      0.000     0.000     0.000     0.000        8   Logger::LogDevice#write
  0.08      0.000     0.000     0.000     0.000       11   Kernel#Array
  0.08      0.000     0.000     0.000     0.000        1   Rack::Request#POST
  0.08      0.000     0.000     0.000     0.000       16   Array#hash
  0.08      0.000     0.000     0.000     0.000        6   ActiveSupport::JSON::Encoding::JSONGemEncoder::EscapedString#to_json
  0.08      0.000     0.000     0.000     0.000        9   Enumerable#map
  0.08      0.000     0.000     0.000     0.000        1   ActionView::PartialRenderer#setup
  0.08      0.001     0.000     0.000     0.001       10   ActiveSupport::Notifications::Instrumenter#start
  0.08      0.000     0.000     0.000     0.000        4   ActionView::LookupContext::Accessors#formats=
  0.08      0.000     0.000     0.000     0.000        1   ActiveSupport::Testing::TaggedLogging#before_setup
  0.08      0.000     0.000     0.000     0.000        4   Array#extract_options!
  0.08      0.001     0.000     0.000     0.001        6   ActiveSupport::LogSubscriber#finish
  0.08      0.000     0.000     0.000     0.000        3   ActionDispatch::Response#munge_body_object
  0.08      0.000     0.000     0.000     0.000        1   ActionDispatch::Request::Session#load!
  0.08      0.000     0.000     0.000     0.000        5   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.08      0.000     0.000     0.000     0.000       12   ActiveSupport::Configurable::ClassMethods#config
  0.08      0.000     0.000     0.000     0.000        2   Hash#hash
  0.08      0.000     0.000     0.000     0.000        6   ActionDispatch::Response#[]
  0.08      0.000     0.000     0.000     0.000       16   Array#eql?
  0.08      0.000     0.000     0.000     0.000        1   <Class::Rack::MockRequest>#env_with_encoding
  0.08      0.000     0.000     0.000     0.000        2   OpenSSL::Digest#initialize
  0.08      0.000     0.000     0.000     0.000        6   ActionDispatch::Request::Session#[]=
  0.08      0.000     0.000     0.000     0.000       16   Array#push
  0.08      0.000     0.000     0.000     0.000       18   Array#pop
  0.08      0.000     0.000     0.000     0.000       19   Mutex#lock
  0.08      0.001     0.000     0.000     0.001        6   Analytical::HelperMethods#analytical
  0.08      0.000     0.000     0.000     0.000        4   <Class::ActionDispatch::Request::Utils>#deep_munge
  0.08      0.000     0.000     0.000     0.000        2   Sprockets::Rails::Helper#request_debug_assets?
  0.08      0.000     0.000     0.000     0.000       11   Object#html_safe?
  0.08      0.000     0.000     0.000     0.000        4   Set#each
  0.08      0.000     0.000     0.000     0.000        5   ActiveSupport::HashWithIndifferentAccess#convert_key
  0.08      0.012     0.000     0.000     0.012        1   ActionView::TemplateRenderer#render_with_layout
  0.08      0.000     0.000     0.000     0.000        2   ActionDispatch::Http::MimeNegotiation#content_mime_type
  0.08      0.000     0.000     0.000     0.000        3   ActionDispatch::Routing::UrlFor#initialize
  0.07      0.000     0.000     0.000     0.000        4   URI::Generic#set_port
  0.07      0.000     0.000     0.000     0.000        2   ActionView::Rendering#_normalize_options
  0.07      0.000     0.000     0.000     0.000        6   Array#&
  0.07      0.015     0.000     0.000     0.015        1   ActiveRecord::Railties::ControllerRuntime#process_action
  0.07      0.000     0.000     0.000     0.000        4   String#sub!
  0.07      0.000     0.000     0.000     0.000        4   ActiveSupport::OrderedOptions#respond_to_missing?
  0.07      0.015     0.000     0.000     0.015        1   ActionController::Instrumentation#process_action
  0.07      0.000     0.000     0.000     0.000        2   <Class::File>#extname
  0.07      0.016     0.000     0.000     0.016        1   ActionView::Rendering#process
  0.07      0.000     0.000     0.000     0.000        4   ActionView::Helpers::TagHelper#content_tag
  0.07      0.000     0.000     0.000     0.000        1   Rack::Response#initialize
  0.07      0.000     0.000     0.000     0.000        6   <Class::Hash>#[]
