Measure Mode: allocations
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 3216.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.12      4.000     4.000     0.000     0.000        9   String#gsub!
  0.12      4.000     4.000     0.000     0.000        1   ActionDispatch::Integration::Session#build_full_uri
  0.12     28.000     4.000     0.000    24.000        2   IPAddr#initialize
  0.12    180.000     4.000     0.000   176.000        1   Analytical::Api#available_modules
  0.12     10.000     4.000     0.000     6.000        2   Sprockets::PathUtils#match_path_extname
  0.12      4.000     4.000     0.000     0.000        4   Array#flatten
  0.12      4.000     4.000     0.000     0.000        2   Kernel#lambda
  0.12      4.000     4.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#subscribe
  0.12   2833.000     4.000     0.000  2829.000        1   Rails::Engine#call
  0.12      8.000     4.000     0.000     4.000        1   Rails::Application#build_original_fullpath
  0.12      4.000     4.000     0.000     0.000        4   String#strip
  0.12     50.000     4.000     0.000    46.000        2   ActionView::LogSubscriber#render_template
  0.12      5.000     4.000     0.000     1.000        2   Enumerable#find_all
  0.12     57.000     4.000     0.000    53.000        1   ActionDispatch::RemoteIp::GetIp#calculate_ip
  0.12      4.000     4.000     0.000     0.000        2   Array#|
  0.12     10.000     4.000     0.000     6.000        1   <Class::ActionDispatch::Http::ParameterFilter::CompiledFilter>#compile
  0.12     14.000     4.000     0.000    10.000        4   ActionView::LookupContext::ViewPaths#detail_args_for
  0.12     18.000     4.000     0.000    14.000        2   Sprockets::Resolve#parse_path_extnames
  0.12      4.000     4.000     0.000     0.000        2   <Class::File>#extname
  0.09      3.000     3.000     0.000     0.000        1   URI::Generic#to_s
  0.09      3.000     3.000     0.000     0.000        1   Rack::Request#trusted_proxy?
  0.09      6.000     3.000     0.000     3.000        3   Analytical::Modules::Base#queue
  0.09     15.000     3.000     0.000    12.000        1   Rack::Request#ip
  0.09      3.000     3.000     0.000     0.000        5   ActionDispatch::Request#request_method
  0.09     36.000     3.000     0.000    33.000        1   ActionView::TemplateRenderer#find_layout
  0.09   3159.000     3.000     0.000  3156.000        1   ActionDispatch::Integration::Runner#get
  0.09     57.000     3.000     0.000    54.000        3   Analytical::Api#get_mod
  0.09    231.000     3.000     0.000   228.000        6   Analytical::InstanceMethods#analytical
  0.09      6.000     3.000     0.000     3.000        1   SQLite3::Database#transaction
