Measure Mode: memory
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000        1   Analytical::CommandStore#initialize
   NaN      0.000     0.000     0.000     0.000        1   Analytical::Modules::Clicky#initialize
   NaN      0.000     0.000     0.000     0.000        1   Analytical::Modules::Google#initialize
   NaN      0.000     0.000     0.000     0.000        4   Analytical::Modules::Base#initialize
   NaN      0.000     0.000     0.000     0.000        1   Analytical::Modules::Console#initialize
   NaN      0.000     0.000     0.000     0.000        6   Module#const_defined?
   NaN      0.000     0.000     0.000     0.000        3   ActiveSupport::Inflector#constantize
   NaN      0.000     0.000     0.000     0.000        3   String#constantize
   NaN      0.000     0.000     0.000     0.000        3   Analytical::Api#get_mod
   NaN      0.000     0.000     0.000     0.000        1   Hash#replace
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Request::Session#stringify_keys
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Request::Session::Options#[]=
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Session::CookieStore#persistent_session_id!
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Session::CookieStore#load_session
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Request::Session#load!
   NaN      0.000     0.000     0.000     0.000       42   Hash#[]=
   NaN      0.000     0.000     0.000     0.000        3   Hash#transform_keys!
   NaN      0.000     0.000     0.000     0.000        1   Hash#stringify_keys!
   NaN      0.000     0.000     0.000     0.000        1   <Module::Marshal>#load_without_autoloading
   NaN      0.000     0.000     0.000     0.000        1   <Module::Marshal>#load_with_autoloading
   NaN      0.000     0.000     0.000     0.000        2   ActionDispatch::Cookies::SerializedCookieJars#serializer
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::SerializedCookieJars#needs_migration?
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::SerializedCookieJars#deserialize
   NaN      0.000     0.000     0.000     0.000        1   <Module::ActiveSupport::MessageEncryptor::NullSerializer>#load
   NaN      0.000     0.000     0.000     0.000        1   Base64#strict_decode64
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::MessageVerifier#decode
   NaN      0.000     0.000     0.000     0.000        1   String#each_byte
   NaN      0.000     0.000     0.000     0.000        5   String#bytesize
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::SecurityUtils#secure_compare
   NaN      0.000     0.000     0.000     0.000        2   <Class::OpenSSL::HMAC>#hexdigest
   NaN      0.000     0.000     0.000     0.000        2   OpenSSL::Digest#initialize
   NaN      0.000     0.000     0.000     0.000        2   OpenSSL::Digest::SHA1#initialize
   NaN      0.000     0.000     0.000     0.000       11   Module#const_get
   NaN      0.000     0.000     0.000     0.000        2   ActiveSupport::MessageVerifier#generate_digest
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::MessageVerifier#verify
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::SignedCookieJar#verify
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::CookieJar#[]
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::SignedCookieJar#[]
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::MessageVerifier#initialize
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::SerializedCookieJars#digest
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::LegacyKeyGenerator#generate_key
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::SignedCookieJar#initialize
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::ChainedCookieJars#signed
   NaN      0.000     0.000     0.000     0.000        2   ActionDispatch::Cookies::ChainedCookieJars#signed_or_encrypted
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::CookieJar#update
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils::KeySpaceConstrainedParams#[]=
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils::KeySpaceConstrainedParams#[]
   NaN      0.000     0.000     0.000     0.000        2   <Module::URI>#decode_www_form_component
   NaN      0.000     0.000     0.000     0.000        2   Rack::Utils#unescape
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils#parse_query
   NaN      0.000     0.000     0.000     0.000        1   Rack::Request#cookies
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::CookieJar#initialize
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Http::URL#raw_host_with_port
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Http::URL#host
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActionDispatch::Cookies::CookieJar>#options_for_env
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActionDispatch::Cookies::CookieJar>#build
   NaN      0.000     0.000     0.000     0.000        2   ActionDispatch::Request#cookie_jar
   NaN      0.000     0.000     0.000     0.000        2   ActionDispatch::Session::CookieStore#cookie_jar
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Session::CookieStore#get_cookie
   NaN      0.000     0.000     0.000     0.000        2   ActionDispatch::Session::CookieStore#unpacked_cookie_data
   NaN      0.000     0.000     0.000     0.000        3  *ActionDispatch::Session::StaleSessionCheck#stale_session_check!
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Session::CookieStore#extract_session_id
   NaN      0.000     0.000     0.000     0.000        9   ActionDispatch::Request::Session::Options#[]
   NaN      0.000     0.000     0.000     0.000        4   <Class::ActionDispatch::Request::Session::Options>#find
   NaN      0.000     0.000     0.000     0.000        4   ActionDispatch::Request::Session#options
   NaN      0.000     0.000     0.000     0.000        2   ActionDispatch::Request::Session#id
   NaN      0.000     0.000     0.000     0.000        1   Rack::Session::Abstract::Persisted#current_session_id
   NaN      0.000     0.000     0.000     0.000        1   Rack::Session::Abstract::Persisted#session_exists?
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Request::Session#exists?
   NaN      0.000     0.000     0.000     0.000       24   ActionDispatch::Request::Session#loaded?
   NaN      0.000     0.000     0.000     0.000       15   ActionDispatch::Request::Session#load_for_read!
   NaN      0.000     0.000     0.000     0.000       13   ActionDispatch::Request::Session#[]
   NaN      0.000     0.000     0.000     0.000       13   Analytical::SessionCommandStore#commands
   NaN      0.000     0.000     0.000     0.000        3   Analytical::SessionCommandStore#ensure_session_setup!
   NaN      0.000     0.000     0.000     0.000       34   String#to_sym
   NaN      0.000     0.000     0.000     0.000        3   Analytical::SessionCommandStore#initialize
   NaN      0.000     0.000     0.000     0.000        1   Analytical::Api#initialize
   NaN      0.000     0.000     0.000     0.000        1   Analytical::BotDetector#analytical_is_robot?
   NaN      0.000     0.000     0.000     0.000        1   Rack::Request#user_agent
   NaN      0.000     0.000     0.000     0.000        1   Rack::Request#session
   NaN      0.000     0.000     0.000     0.000        1   ActionController::Metal#session
   NaN      0.000     0.000     0.000     0.000        2   Rack::Request#forwarded_scheme
   NaN      0.000     0.000     0.000     0.000        2   Rack::Request#scheme
   NaN      0.000     0.000     0.000     0.000        2   Rack::Request#ssl?
   NaN      0.000     0.000     0.000     0.000        1   <Class::ApplicationController>#analytical_options
